6:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 735,254 grown=2 stale=0 growableB4=240 | cap=246 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 731,255 grown=2 stale=0 growableB4=42 | cap=60 cov=60 belowMax=237
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 736,248 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 735,252 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 725,256 grown=2 stale=0 growableB4=240 | cap=251 cov=240 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 731,260 grown=2 stale=0 growableB4=232 | cap=242 cov=232 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 720,248 grown=2 stale=0 growableB4=240 | cap=251 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 741,251 grown=2 stale=0 growableB4=63 | cap=78 cov=78 belowMax=250
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 726,243 grown=2 stale=0 growableB4=223 | cap=230 cov=224 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 736,253 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 724,255 grown=2 stale=0 growableB4=240 | cap=251 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 731,250 grown=2 stale=0 growableB4=239 | cap=247 cov=240 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 730,254 grown=2 stale=0 growableB4=173 | cap=184 cov=176 belowMax=253
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 738,257 grown=2 stale=0 growableB4=239 | cap=252 cov=240 belowMax=254
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 727,244 grown=2 stale=0 growableB4=240 | cap=249 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 743,253 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 723,252 grown=2 stale=0 growableB4=239 | cap=248 cov=240 belowMax=254
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 734,244 grown=2 stale=0 growableB4=199 | cap=204 cov=200 belowMax=254
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 726,246 grown=2 stale=0 growableB4=238 | cap=253 cov=240 belowMax=254
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 730,241 grown=2 stale=0 growableB4=231 | cap=245 cov=232 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 720,243 grown=2 stale=0 growableB4=239 | cap=249 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 726,256 grown=2 stale=0 growableB4=239 | cap=251 cov=240 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 722,246 grown=2 stale=0 growableB4=216 | cap=228 cov=216 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 721,252 grown=2 stale=0 growableB4=239 | cap=253 cov=240 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 735,258 grown=2 stale=0 growableB4=146 | cap=152 cov=149 belowMax=253
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 724,254 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 729,252 grown=2 stale=0 growableB4=240 | cap=251 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 725,240 grown=2 stale=0 growableB4=247 | cap=254 cov=248 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,256 grown=2 stale=0 growableB4=232 | cap=244 cov=232 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 737,253 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 732,248 grown=2 stale=0 growableB4=240 | cap=248 cov=240 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 741,261 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 731,249 grown=2 stale=0 growableB4=239 | cap=251 cov=240 belowMax=254
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 726,257 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 738,251 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 740,257 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 730,248 grown=2 stale=0 growableB4=238 | cap=252 cov=240 belowMax=254
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 728,246 grown=2 stale=0 growableB4=239 | cap=250 cov=240 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 740,249 grown=2 stale=0 growableB4=145 | cap=153 cov=152 belowMax=249
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 722,251 grown=2 stale=0 growableB4=239 | cap=251 cov=240 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 729,256 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 724,249 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 734,258 grown=2 stale=0 growableB4=3 | cap=30 cov=30 belowMax=227
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 733,249 grown=2 stale=0 growableB4=247 | cap=254 cov=248 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 723,243 grown=2 stale=0 growableB4=215 | cap=228 cov=216 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 724,260 grown=2 stale=0 growableB4=60 | cap=77 cov=77 belowMax=251
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 725,241 grown=2 stale=0 growableB4=222 | cap=234 cov=224 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 727,257 grown=2 stale=0 growableB4=237 | cap=247 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 726,252 grown=2 stale=0 growableB4=239 | cap=250 cov=240 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 720,263 grown=2 stale=0 growableB4=86 | cap=98 cov=96 belowMax=252
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 734,243 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 736,258 grown=2 stale=0 growableB4=92 | cap=100 cov=100 belowMax=248
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 737,247 grown=2 stale=0 growableB4=240 | cap=250 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,240 grown=2 stale=0 growableB4=232 | cap=243 cov=232 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 733,258 grown=2 stale=0 growableB4=6 | cap=34 cov=32 belowMax=228
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 738,261 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 739,252 grown=2 stale=0 growableB4=244 | cap=256 cov=244 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,245 grown=2 stale=0 growableB4=224 | cap=236 cov=224 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 729,241 grown=2 stale=0 growableB4=240 | cap=249 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 728,240 grown=2 stale=0 growableB4=240 | cap=246 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 720,244 grown=2 stale=0 growableB4=231 | cap=243 cov=232 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 726,247 grown=2 stale=0 growableB4=239 | cap=251 cov=240 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 732,258 grown=2 stale=0 growableB4=15 | cap=41 cov=40 belowMax=229
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 728,256 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 722,245 grown=2 stale=0 growableB4=208 | cap=215 cov=208 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 724,247 grown=2 stale=0 growableB4=232 | cap=242 cov=232 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 740,262 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 734,251 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 726,242 grown=2 stale=0 growableB4=230 | cap=237 cov=232 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 732,253 grown=2 stale=0 growableB4=171 | cap=184 cov=176 belowMax=251
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 733,248 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 727,251 grown=2 stale=0 growableB4=240 | cap=250 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 721,245 grown=2 stale=0 growableB4=232 | cap=243 cov=232 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,260 grown=2 stale=0 growableB4=231 | cap=240 cov=232 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 721,240 grown=2 stale=0 growableB4=239 | cap=251 cov=240 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 732,243 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 728,255 grown=2 stale=0 growableB4=247 | cap=254 cov=248 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 720,259 grown=2 stale=0 growableB4=208 | cap=214 cov=208 belowMax=256
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 723,253 grown=2 stale=0 growableB4=247 | cap=254 cov=248 belowMax=255
[16:43:23] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 724,242 grown=2 stale=0 growableB4=232 | cap=237 cov=232 belowMax=256
